20000 100000
3349 11715 58941
8375 220 47904
1420 3124 5509
14338 16487 182516
10916 3560 24664
17164 11994 367
11584 19286 149201
221 4151 123534
7156 17208 183794
1452 8576 180387
4236 6218 101273
8399 10238 154443
5639 14957 23890
777 7192 80734
1311 3124 5593
4361 6887 140524
11863 12824 197373
19101 17501 77833
12414 2519 27417
16064 1799 136576
12854 12038 199351
1898 8013 6315
7287 3125 29751
10621 15926 84299
1522 16899 147995
13024 1580 24797
16197 11996 35733
12538 1270 74825
9121 8206 195042
1949 16478 182754
1012 4934 162540
5400 17174 150936
19964 16388 187637
255 17354 122267
162 1887 91060
12805 10581 49021
15204 6316 63096
1238 4370 102112
17865 4842 73335
5914 16074 50182
19237 10276 199197
11112 6220 135603
16260 3261 153082
16499 18503 101717
11611 40 186280
13056 11233 139222
9428 16785 77903
17191 6902 185604
18360 19521 34701
8912 12255 109636
7375 10703 60225
5487 3656 186988
4729 18598 82476
6265 9084 43652
12237 2973 29541
18427 7617 133832
9101 3165 144813
3996 6778 173154
4959 16583 53890
511 11457 78272
2122 5385 110213
7555 10194 12991
12030 4656 153765
14404 12061 155912
4022 19735 150604
15032 1294 113809
789 5184 87436
2019 10071 30959
14735 17387 170754
12478 10463 186157
13277 5120 948
17772 17308 68028
18624 9064 194405
10514 13464 98759
13936 2841 95113
1844 10851 14395
1249 3672 100408
1359 12989 199940
4378 13580 18930
13332 963 150558
1417 17290 95578
16690 13612 18287
4083 4435 99071
18038 12034 100999
3387 15808 116489
18405 4251 36175
3795 18493 146552
9603 9585 101355
14450 18200 114299
19573 3386 130529
2876 18415 158155
8359 3671 29273
17867 16762 104480
1232 17679 193642
12351 16854 59098
5637 19688 11680
8174 15664 141439
10659 17492 4140
8740 8666 156903
9327 4969 92183
7600 8273 152946
18809 5429 114689
4834 4941 192293
9461 15689 126782
1240 16429 161031
15159 17386 110989
15156 8577 45988
19143 10254 72394
3932 4651 116797
16300 5394 77845
3940 8928 102048
4573 18938 47687
4767 13206 65888
8726 17992 66486
7159 12238 64494
18086 1690 90015
14424 3822 16203
10281 2295 11704
7617 6713 107661
6449 15867 79167
7268 7642 182657
506 3328 39304
15789 6354 102222
16943 17688 196641
9375 9738 77870
968 10625 106636
5298 3668 88423
15608 10811 59309
11289 634 86216
3556 10806 107545
19052 13609 137698
2534 462 111360
18475 3610 46020
16649 1559 45897
6314 916 134244
10299 7342 115543
10146 15187 192575
5728 10156 162928
10901 9330 72549
1175 17452 56846
5664 5394 153524
15008 5458 42677
3909 322 135284
7932 19200 119370
4854 19210 24987
13065 14328 76805
5694 6220 71532
4951 5460 10558
1248 1381 51885
6258 3906 49642
4529 15983 176447
9193 12442 83089
5389 14598 34170
17498 18161 152258
12493 19067 172196
15731 19442 189476
18194 12286 195436
6535 3894 136980
18529 16533 132137
17879 18899 181241
16738 19610 186979
18343 11089 178949
10822 289 26136
2587 8577 90872
4020 17834 32565
9462 7051 34800
5479 8475 12879
2520 13398 21652
17849 15801 55049
4672 16780 29532
9329 17318 190824
433 13009 1235
9537 14543 30423
7806 8753 184463
3763 13758 116554
15407 7449 188851
15697 3521 7
2727 1550 92744
14085 5306 42386
7352 5452 119153
1275 13609 24748
8795 15692 70609
4059 7113 7529
13287 8282 176491
2730 17161 78692
4766 12720 51963
13985 17950 158572
1118 18721 43950
19848 1946 198613
6762 13168 156652
12411 9639 16570
10016 14747 10706
8382 14027 138830
7275 106 69018
10728 9199 84390
15723 9501 76617
15824 13878 70657
10870 9066 150755
7781 14844 197761
4026 1414 144512
8852 1604 163041
8980 15848 143933
5484 11395 124491
15488 14921 52901
3691 8408 187557
7835 5284 191375
8672 1272 192190
14072 6536 63567
15005 10607 61216
5492 18008 68843
16951 3099 175743
7596 16374 150851
2870 8662 136515
432 15225 57370
19244 15109 172521
19375 16416 18651
8062 9310 120953
17516 2129 71007
15175 8600 320
11548 4616 27530
6247 13779 11686
15020 17203 182656
2437 13852 170424
18074 18759 184387
1 17882 17156
17740 1270 122950
10162 4758 137768
8369 9230 40000
417 16688 102882
4617 12643 108173
6288 7372 126934
6532 14529 182951
8273 9903 8707
14258 13916 172286
4941 15661 129960
17585 1303 60943
7907 8698 93272
8085 615 157858
14825 6404 122860
6077 3169 96361
3765 3202 165666
15716 10425 15322
15385 13811 134669
13623 16854 139970
4917 5432 164078
4005 7148 150769
3088 18965 19547
19109 16416 128300
6814 11916 110006
13184 6543 7706
676 15516 24701
11258 8781 37061
13166 11555 115994
953 8732 78077
16388 18201 98110
17834 17972 183961
5942 12003 24000
9126 5290 60979
8634 8755 181305
16098 3036 89065
16557 19163 30359
5156 3072 50395
12723 12399 87274
8710 10731 32277
2458 479 130794
10607 13197 23885
8172 3638 168283
9663 7281 174494
243 15459 134636
8953 430 121460
15283 13469 34544
19656 4265 13709
1143 15419 54472
2706 7213 190017
18621 19174 171032
6670 17068 15416
9780 17524 99306
7495 18442 60609
17122 11517 106265
18766 6189 185963
6902 19881 59671
17662 1553 173463
10019 12118 77438
11636 1843 16171
14518 17535 70189
19606 9647 96462
9508 3842 60328
11960 19926 24670
12106 10497 104576
19436 8099 118927
17091 15872 73974
18857 14841 139920
9039 7705 30041
18192 17645 144889
17548 17985 46490
18479 8978 65559
12280 6935 49172
7047 1526 45909
6831 7132 190850
13847 1953 94
13913 17782 164765
13337 9124 1008
19136 497 58663
1391 10179 152775
14205 3497 134864
188 11608 75660
9226 12473 154046
11449 9303 69042
19104 13972 42995
2409 2670 151543
17544 11419 79040
16820 1986 87971
12994 10030 147224
5746 13480 55748
10928 10882 183200
6333 4525 181000
12809 11708 100124
1253 13360 69216
16797 14099 169106
17380 12095 49120
5849 8624 55614
2619 624 70468
13921 8473 145979
787 9786 4736
12483 3889 189862
12330 13712 131602
621 18261 129536
4105 16918 179320
17935 3292 59516
15482 3491 89922
6218 14546 4598
6388 12677 169435
10288 11871 165224
11315 70 92419
17021 11529 10092
11653 1235 34660
8083 5277 164916
18676 13878 120807
3289 7207 186264
1516 4384 35068
17779 5013 76547
3735 7613 43902
14948 3401 92909
12436 14565 119136
6029 8957 183093
8864 8699 29068
14472 549 161855
18458 16561 181608
12331 11500 49250
16763 16978 50783
10709 1991 133464
13854 17765 47979
13926 5549 52920
1951 18150 193088
19353 17559 24483
7464 4395 1670
17597 11103 185273
1551 12851 31698
9683 8808 30330
7795 15599 156164
9213 10316 193501
7277 488 42880
15006 8348 171158
8577 9959 19040
1588 106 34505
7779 3839 100440
15470 17564 136091
11829 6134 59055
10838 10430 21169
19478 931 135294
10609 173 21829
2237 10128 122401
7379 4596 9816
9637 13363 187651
2451 9316 48763
8986 18955 178990
16835 539 26090
9443 12017 45083
18016 11916 156791
5592 18305 6294
12296 2845 82300
23 11194 108726
7894 8835 154135
9017 13812 6025
9600 1220 23592
10483 8282 32110
5679 15057 121483
17446 5991 50542
17409 15424 124559
3458 5418 13222
5771 2710 35171
9993 2127 71688
11890 12017 119028
8379 5713 99067
3194 1871 147132
14407 3724 91002
5113 15243 4154
17443 17285 11676
15750 13661 135824
9205 3655 69684
9162 3470 138115
7960 16884 198397
138 10525 21215
13101 6193 178158
8251 11051 172078
11368 2860 155057
12001 6520 65670
19707 4772 112218
410 15732 2355
14152 8572 90846
3687 11517 104547
2037 10042 156191
18540 12529 167717
11146 1211 171601
12669 9923 72681
15800 18575 142408
2253 19608 117323
5068 1318 57465
13085 3451 158350
17376 10228 174084
5572 10289 2851
4041 2690 162426
17263 15548 148759
10934 17972 189390
3329 11573 93374
9901 13490 27359
6542 2678 29381
4997 9832 134965
17559 3638 199226
7009 15169 121786
19083 2783 101735
2392 12595 193983
3846 13049 63270
1948 13324 35984
17357 5965 177411
2994 10800 51248
671 16399 159040
19275 11003 153653
6242 13793 6890
19329 12896 19695
15924 1707 88076
5819 10027 7935
726 10827 167455
4525 11800 126287
10396 19198 160537
10302 15386 87133
17055 17627 80364
65 12050 5171
5030 16766 175197
18807 13192 104079
964 19859 3466
15380 17045 34003
12208 3982 73970
2707 12895 197561
16404 18418 60850
1784 16821 63396
9471 15084 121781
18244 5785 164953
15415 19325 188621
9145 16208 29277
7439 13232 146498
8336 1178 34783
2416 463 149756
11586 2701 117085
10812 11994 33174
18591 16351 63203
9314 16090 45901
14256 7121 189040
106 2869 110410
4434 7276 90618
50 11082 41027
16090 6857 146681
7654 17205 143088
12592 12757 47019
19968 9647 136521
11255 19095 124018
4402 16990 100501
15538 16532 156422
8958 11713 19771
10919 762 12822
9902 4553 79322
1558 19803 170395
16055 18981 179225
1142 7037 123560
17907 17551 180023
16918 1733 190223
10806 11708 37521
6586 3632 198358
10043 13715 67094
1302 14173 71827
14056 97 9903
9118 14845 17854
19424 15554 172304
18644 10658 165558
11392 10193 300
15726 19377 113689
2346 5162 64975
19597 12089 161571
3375 195 7704
5226 15240 99517
13284 10751 41609
1914 15877 177581
2085 840 187694
1880 5467 166084
11507 19293 93789
17538 6605 99662
16392 15021 19323
535 14083 14419
14540 12015 41428
18697 15194 143863
47 1169 195250
16902 10898 119358
19681 4998 67262
17094 17307 149577
4690 16379 162007
3515 11365 60368
664 7692 17071
17309 2191 7145
10537 10578 118478
4280 12529 164334
9897 1103 66717
2496 6639 78970
9270 4724 37768
2960 10550 168099
13786 18453 82720
10506 16798 69228
11454 14489 135505
12722 1604 48831
13584 7840 170829
6146 12494 88890
14083 2816 109185
11461 11377 46497
2948 13067 73336
15070 18944 83065
7281 14943 69381
9256 16011 20637
16528 12416 83277
15894 5879 130964
3002 18849 78034
7943 1263 15423
8357 14036 30419
1936 8067 130396
7302 8478 88685
17561 591 187958
914 17088 160005
9794 2641 104388
8254 2779 122593
5559 14814 186644
17731 377 42196
19908 19794 199795
12928 9978 169799
182 11594 54394
18382 1940 67910
11519 3638 31930
13588 18492 75443
4900 8446 111833
12761 15534 2540
18325 11241 120877
15693 2199 107273
19689 4410 136540
7723 9874 69644
4073 15578 56277
4167 12333 180196
4205 3216 163178
1753 1563 180691
9178 14186 178187
6884 9147 193126
13748 4125 62031
3889 2777 87165
4640 12936 158633
18451 15933 85161
18501 18161 154307
15153 1528 36557
8242 9415 126115
198 2119 173385
1022 2756 40970
18110 2972 122026
2344 4379 172858
4096 9976 26835
5517 5359 102403
15009 12408 65701
18841 794 76056
3137 18220 195543
12936 19691 80837
16161 14189 168524
11339 9759 157055
13671 8509 110734
4542 15301 7276
9761 8199 41907
836 1376 69284
14161 15737 17775
31 4029 198203
3271 10339 54343
8320 18634 87073
18362 12718 81820
5108 6145 176738
15782 14933 58391
9338 16422 28111
15135 12719 158508
12807 5525 148966
18153 1365 180266
6892 13931 47353
2678 15805 167773
10950 14396 8872
4932 10193 7422
268 16183 57013
16037 15466 196832
19112 18429 102215
3297 9165 185835
18139 7611 50326
4219 6007 187465
15425 10807 124327
11340 1263 117403
14456 15258 19717
3934 4462 151962
3634 6494 194012
8548 15638 76077
17589 9046 177781
18097 12233 141234
1817 4554 63912
1406 19971 143726
17171 2471 195773
3050 674 19935
3112 851 82600
5120 18679 58364
18465 5057 179336
13676 12768 97862
18745 13737 173270
8041 17492 189184
8123 14057 176752
17670 3721 126259
2396 9315 107567
1845 4735 134350
11990 3251 35121
5792 484 112842
30 12118 75197
14539 12002 64419
3104 1908 165825
8198 3310 194256
14128 14847 13688
18278 15944 188482
9581 2535 73348
13508 1930 132766
121 2763 92046
16298 19248 132660
8117 14583 79461
15685 10634 24364
17704 10882 94474
5160 8397 41444
14929 15984 135369
10209 3582 160830
5291 18814 26777
9477 5428 154971
11038 10130 12453
2945 7505 59574
10768 14433 111
14569 8355 59429
4064 18635 13752
4193 9560 88637
2687 3584 53649
9200 11379 42824
15736 287 130074
12627 173 82391
16767 11113 1653
16881 19716 52326
17033 15366 89339
12948 8538 32139
14762 15251 52812
17672 6351 40375
6628 1139 66864
7540 19320 22004
13883 7133 146473
16050 16616 127277
17277 16261 57968
2614 2871 122607
3598 7927 67394
37 8025 145196
17637 13364 1893
10552 17893 170089
19910 13112 82203
17858 18947 158060
16966 17403 92389
13224 12055 31052
8452 10970 70794
6536 1953 129718
16910 1244 147336
5237 1186 131854
7483 15535 18589
1478 8235 17152
6483 6632 65115
13519 250 174047
18655 3670 164320
19949 11224 45550
464 14737 28858
15540 17314 61045
15525 6128 49028
258 4647 147950
13706 17112 194884
6 17233 70013
845 2185 25635
10133 2283 21367
13267 9303 47665
7677 6984 72680
7420 222 35110
1041 15514 40038
11405 10344 158086
10445 1490 32279
9830 3343 32015
16771 8549 183294
6539 10695 185008
7461 635 175085
13473 7655 29979
7294 4926 37634
10839 3057 24310
17733 19001 160889
1036 4227 36296
11444 10849 74298
11087 11617 136145
9449 3128 150469
1333 18116 106109
19429 12074 13319
11749 10384 63006
5088 19119 109765
11945 12799 69968
1355 5733 149291
14277 15042 138300
2938 5353 162855
11822 11660 96681
9255 3423 12898
4381 13339 24761
11267 8199 121659
19453 12175 91147
3921 16876 165406
7098 8701 144749
16091 5698 91848
19034 12415 73468
6974 16809 173738
8458 14381 31026
16318 9485 50996
4861 7590 194307
1535 14615 40102
16275 15410 108403
4366 9239 27541
12707 14867 164887
16391 10978 149475
10199 3644 193833
15721 5047 155104
12469 16517 96607
11439 16772 120419
3214 3099 51948
5921 16088 112885
16834 10204 4571
4896 5333 9655
17432 12947 168622
4255 13380 178254
5471 7373 148266
884 12696 102205
2161 5544 78027
11165 462 150283
6341 16578 141998
6841 1858 47613
16628 16652 106244
1990 3976 59683
14107 6858 52627
8644 13213 41704
6351 345 178771
10891 16060 143792
6609 15019 115830
8558 13274 143093
3992 270 154016
13060 10998 97247
13078 12042 127400
14349 2365 78113
10921 15761 4057
5040 6327 135932
1422 19769 6681
9586 514 89161
6784 1027 164264
2370 1429 140190
10348 15733 28442
12026 11565 162413
8745 15368 74182
1265 14470 45628
854 667 115588
7140 3656 26508
11851 8705 100790
16890 6324 154644
18503 15957 46653
10150 18852 151648
14239 12888 134356
7014 11387 20220
1645 16293 96545
13884 3705 110333
9824 11040 187859
612 8935 171151
5717 15502 10566
10110 10186 46802
6085 17492 167565
4889 5438 13437
10941 1290 157728
7333 7345 28483
6499 5418 145980
3569 8096 48823
10174 7246 51083
1730 9610 60586
19826 19801 116431
13391 2149 184254
5143 1557 92272
9823 19667 74353
7551 1847 193761
6979 6767 105999
2844 6036 81671
6435 18033 67733
3595 16529 128203
19340 7430 194677
16245 14746 148035
18868 2381 102530
865 13143 32865
11798 17131 71092
2869 4772 8340
9985 9285 1294
7605 18743 196610
5554 6493 4502
18635 13345 14094
14266 19854 78941
4801 11634 50896
9584 6263 55771
3119 16807 82543
16227 18111 159511
14049 9730 29383
12481 9169 4490
14403 16059 5638
1566 13481 63824
10231 4800 11314
17881 18287 140630
14337 8021 191928
19520 14362 49853
2609 2486 86785
4055 2142 162487
3641 12913 64613
5533 4440 188183
5967 19990 3198
19881 9402 59599
2986 218 88368
19260 4426 53463
12521 14583 82470
15880 13083 112253
19611 7410 181668
18149 2202 162709
5238 7016 133149
5356 10974 139657
16783 2083 162234
18234 16327 182470
4217 4753 92034
12893 18296 96757
6661 17995 8383
3167 12718 136664
2307 2011 140009
990 17943 196197
4348 10513 124187
8240 224 168948
16933 862 31342
5743 10519 24690
2293 8735 91829
2430 6886 27288
19895 9303 3438
391 2640 60825
15074 17741 40187
5629 4665 114327
2242 18083 163290
7869 17261 117891
11708 6408 60294
2957 13294 151671
2779 11909 59501
5991 4408 78457
6657 10343 167458
2595 9454 87022
15269 15801 198020
17359 19801 141550
13020 1235 41459
14211 13667 179969
940 9728 145364
2602 4352 73648
14519 18185 147516
10924 18445 61377
747 16033 79359
10090 687 58101
10124 17127 169730
5544 14165 64939
15866 13512 20104
1403 8936 44167
9904 12016 142102
9232 1065 77860
5448 15777 178990
4679 19103 71059
4520 15212 194424
1800 19877 94935
8896 6727 75740
4003 1870 127323
5269 15376 52191
437 4666 120627
4130 6062 98886
15513 1072 99774
15914 16111 126942
15454 10096 138061
12409 12393 112472
8066 15896 41257
13182 2611 137833
19530 2149 183702
11986 6905 186512
8775 8631 110438
5797 13345 102461
5025 1883 147009
4539 9763 63604
2875 16413 51141
11464 2705 153062
3903 13237 97021
866 18492 173670
18050 11056 181874
5892 18696 22306
2289 3270 27411
19972 12252 19611
10958 17592 76893
13505 10111 144364
13526 5614 146340
5202 1109 81906
2501 7836 96584
11984 17958 4507
10393 1498 124232
15798 14966 21481
19960 13037 2873
6279 12675 13041
6778 10363 50766
14084 4576 176818
13796 6446 72261
4776 15473 143097
5432 19395 156436
4476 15365 148973
3757 6256 141693
19092 1565 94352
17111 4979 197580
2964 4328 102327
11554 6220 143231
13904 9474 74573
1892 9959 43603
19124 11421 29096
1307 12929 76964
13214 17223 124227
149 3922 149494
15281 12720 44386
5063 13461 155465
11451 11658 45676
1174 1294 164874
5203 6775 67340
2656 14210 67396
15232 17203 64744
2328 2075 139758
19613 1334 131494
3837 13456 146094
18161 18560 31147
4821 192 4265
17445 301 15551
17659 1506 152143
7203 3698 63037
3024 15639 4451
17314 14736 189322
5959 19293 57011
4211 3970 15076
10054 11115 189834
14307 717 37078
14388 3799 32719
273 1523 153957
1373 12812 25611
5264 7139 163364
741 16467 63191
3058 3584 166895
12442 15587 126705
7339 18611 121435
3695 6129 34024
4604 13822 184481
8860 480 6246
8181 8578 31968
13653 7931 161045
2148 1569 104298
18178 15704 193933
10344 289 162889
7496 8650 128856
7308 16985 124503
11354 18372 6401
5284 6402 100087
15674 1856 59103
12688 1294 627
3632 10132 101236
4080 6640 63435
15207 6216 4665
17734 2594 68047
13973 9784 42799
17023 168 194937
560 17688 192995
3101 19191 110889
16485 10811 18986
14690 840 30977
17594 16103 182716
16238 10871 4914
16117 4944 35919
2505 16422 169412
18836 7337 29449
15783 17593 31984
424 7538 52505
17126 4943 189883
17698 3664 187822
927 5628 75338
4311 15643 42380
15865 5413 101259
17343 19053 109874
12399 11538 90346
19954 1552 169432
8316 14966 95356
19983 677 38325
6718 18804 118853
774 11629 20950
1953 17227 70481
17458 19832 103481
18833 6125 48319
18213 19785 3367
9237 5587 168377
8232 18906 194386
15460 7381 20915
4981 6256 66221
12495 6134 61676
